experiment,geometry,cluster_size,rho,nominal_breadth,launch_target_per_3y,service_probability,service_half_width,mean_launches_per_3y,variance_launches_per_3y,effective_breadth,n_runs
E8_launch_service,MSOG trios,3,0.25,13,1,0.85058,0.0013974877718044762,1.962852,2.032488156048624,10.659010636827157,250000
E8_launch_service,MSOG trios,3,0.25,13,2,0.579572,0.0019350205467109083,1.962852,2.032488156048624,10.659010636827157,250000
E8_launch_service,MSOG trios,3,0.25,13,3,0.317268,0.0018244179307841956,1.962852,2.032488156048624,10.659010636827157,250000
E8_launch_service,MSOG trios,3,0.25,14,1,0.870936,0.0013142613873436384,2.114588,2.188498344249378,11.484028015140833,250000
E8_launch_service,MSOG trios,3,0.25,14,2,0.61898,0.0019036989119914523,2.114588,2.188498344249378,11.484028015140833,250000
E8_launch_service,MSOG trios,3,0.25,14,3,0.357948,0.0018792352002487752,2.114588,2.188498344249378,11.484028015140833,250000
E8_launch_service,MSOG trios,3,0.25,15,1,0.886136,0.0012451723705231598,2.264796,2.377096586770347,12.133569066425553,250000
E8_launch_service,MSOG trios,3,0.25,15,2,0.653548,0.0018652899417853017,2.264796,2.377096586770347,12.133569066425553,250000
E8_launch_service,MSOG trios,3,0.25,15,3,0.39658,0.0019176145730670279,2.264796,2.377096586770347,12.133569066425553,250000
E8_launch_service,MSOG trios,3,0.25,16,1,0.903392,0.0011580591247102674,2.415808,2.507113735590941,13.089488418688639,250000
E8_launch_service,MSOG trios,3,0.25,16,2,0.688116,0.0018159899588729342,2.415808,2.507113735590941,13.089488418688639,250000
E8_launch_service,MSOG trios,3,0.25,16,3,0.435676,0.0019437130284988041,2.415808,2.507113735590941,13.089488418688639,250000
E8_launch_service,MSOG trios,3,0.25,17,1,0.916132,0.0010865838275725655,2.566952,2.6659920936643737,13.896886128501157,250000
E8_launch_service,MSOG trios,3,0.25,17,2,0.718648,0.0017626625643406553,2.566952,2.6659920936643737,13.896886128501157,250000
E8_launch_service,MSOG trios,3,0.25,17,3,0.474096,0.0019573678451052724,2.566952,2.6659920936643737,13.896886128501157,250000
E8_launch_service,MSOG trios,3,0.25,18,1,0.92592,0.001026652068170634,2.717212,2.8562783721694895,14.538717652122111,250000
E8_launch_service,MSOG trios,3,0.25,18,2,0.744796,0.0017090252268050045,2.717212,2.8562783721694895,14.538717652122111,250000
E8_launch_service,MSOG trios,3,0.25,18,3,0.509196,0.001959668471610741,2.717212,2.8562783721694895,14.538717652122111,250000
E8_launch_service,MSOG trios,3,0.25,19,1,0.936956,0.00095272496499727,2.866964,2.9849813626294517,15.495195442978101,250000
E8_launch_service,MSOG trios,3,0.25,19,2,0.771748,0.001645247043946694,2.866964,2.9849813626294517,15.495195442978101,250000
E8_launch_service,MSOG trios,3,0.25,19,3,0.544416,0.0019522513816568506,2.866964,2.9849813626294517,15.495195442978101,250000
E8_launch_service,MSOG trios,3,0.25,20,1,0.945228,0.0008919359233179607,3.017584,3.1445513811495256,16.29673282485254,250000
E8_launch_service,MSOG trios,3,0.25,20,2,0.795108,0.0015822009081524098,3.017584,3.1445513811495256,16.29673282485254,250000
E8_launch_service,MSOG trios,3,0.25,20,3,0.577772,0.0019361447713712586,3.017584,3.1445513811495256,16.29673282485254,250000
E8_launch_service,MSOG trios,3,0.25,21,1,0.951744,0.0008400822347253923,3.169156,3.3364355934063727,16.936870238804023,250000
E8_launch_service,MSOG trios,3,0.25,21,2,0.814972,0.0015222154943531293,3.169156,3.3364355934063727,16.936870238804023,250000
E8_launch_service,MSOG trios,3,0.25,21,3,0.608208,0.00191355043413255,3.169156,3.3364355934063727,16.936870238804023,250000
E8_launch_service,MSOG trios,3,0.25,22,1,0.958884,0.0007783492866527997,3.320244,3.461821627750508,17.9158310127569,250000
E8_launch_service,MSOG trios,3,0.25,22,2,0.836044,0.0014513237137645928,3.320244,3.461821627750508,17.9158310127569,250000
E8_launch_service,MSOG trios,3,0.25,22,3,0.6395,0.001882170559327714,3.320244,3.461821627750508,17.9158310127569,250000
E8_launch_service,MSOG trios,3,0.25,23,1,0.96462,0.0007241743069536777,3.472472,3.6179606810587246,18.74228075326248,250000
E8_launch_service,MSOG trios,3,0.25,23,2,0.853292,0.0013869531852613013,3.472472,3.6179606810587246,18.74228075326248,250000
E8_launch_service,MSOG trios,3,0.25,23,3,0.668428,0.0018454501077705087,3.472472,3.6179606810587246,18.74228075326248,250000
E8_launch_service,MSOG trios,3,0.25,24,1,0.969116,0.0006781733521589609,3.624092,3.799736374481497,19.43403518939712,250000
E8_launch_service,MSOG trios,3,0.25,24,2,0.867996,0.0013269008571991118,3.624092,3.799736374481497,19.43403518939712,250000
E8_launch_service,MSOG trios,3,0.25,24,3,0.69452,0.0018055928914518465,3.624092,3.799736374481497,19.43403518939712,250000
E8_launch_service,MSOG trios,3,0.25,25,1,0.97376,0.0006266051322989307,3.775092,3.9277801026564116,20.399828462487243,250000
E8_launch_service,MSOG trios,3,0.25,25,2,0.883416,0.0012580218184093158,3.775092,3.9277801026564116,20.399828462487243,250000
E8_launch_service,MSOG trios,3,0.25,25,3,0.721104,0.0017579485569042736,3.775092,3.9277801026564116,20.399828462487243,250000
E8_launch_service,MSOG trios,3,0.25,26,1,0.977152,0.000585721579287885,3.92538,4.085404197216788,21.209978373587255,250000
E8_launch_service,MSOG trios,3,0.25,26,2,0.895916,0.0011970483720526422,3.92538,4.085404197216788,21.209978373587255,250000
E8_launch_service,MSOG trios,3,0.25,26,3,0.744872,0.0017088579135916778,3.92538,4.085404197216788,21.209978373587255,250000
E8_launch_service,MSOG trios,3,0.25,27,1,0.979912,0.0005499813401149155,4.074888,4.267504857475432,21.89037618667565,250000
E8_launch_service,MSOG trios,3,0.25,27,2,0.906492,0.0011412806104031342,4.074888,4.267504857475432,21.89037618667565,250000
E8_launch_service,MSOG trios,3,0.25,27,3,0.765416,0.0016610550613631932,4.074888,4.267504857475432,21.89037618667565,250000
E8_launch_service,MSOG trios,3,0.25,28,1,0.98278,0.0005099537567213719,4.225644,4.397786376409506,22.843765829891225,250000
E8_launch_service,MSOG trios,3,0.25,28,2,0.917424,0.0010789418441175007,4.225644,4.397786376409506,22.843765829891225,250000
E8_launch_service,MSOG trios,3,0.25,28,3,0.786532,0.0016062408099517351,4.225644,4.397786376409506,22.843765829891225,250000
E8_launch_service,MSOG trios,3,0.25,29,1,0.98504,0.00047585955816160675,4.376208,4.559357778167113,23.63466322558396,250000
E8_launch_service,MSOG trios,3,0.25,29,2,0.926496,0.0010229710140130745,4.376208,4.559357778167113,23.63466322558396,250000
E8_launch_service,MSOG trios,3,0.25,29,3,0.804984,0.0015531550508980747,4.376208,4.559357778167113,23.63466322558396,250000
E8_launch_service,MSOG trios,3,0.25,30,1,0.986928,0.0004452457901426829,4.526728,4.753312627266509,24.259005356384,250000
E8_launch_service,MSOG trios,3,0.25,30,2,0.933948,0.0009736220508388531,4.526728,4.753312627266509,24.259005356384,250000
E8_launch_service,MSOG trios,3,0.25,30,3,0.821104,0.001502399623136873,4.526728,4.753312627266509,24.259005356384,250000
E8_launch_service,MSOG trios,3,0.25,31,1,0.988872,0.0004112109449595217,4.677956,4.886231206988829,25.20008487545933,250000
E8_launch_service,MSOG trios,3,0.25,31,2,0.941848,0.0009174001459613433,4.677956,4.886231206988829,25.20008487545933,250000
E8_launch_service,MSOG trios,3,0.25,31,3,0.838016,0.0014442696394661911,4.677956,4.886231206988829,25.20008487545933,250000
E8_launch_service,MSOG trios,3,0.25,32,1,0.99034,0.0003834129616538283,4.829296,5.045296325569299,26.007483830283924,250000
E8_launch_service,MSOG trios,3,0.25,32,2,0.948384,0.0008673020024665696,4.829296,5.045296325569299,26.007483830283924,250000
E8_launch_service,MSOG trios,3,0.25,32,3,0.852616,0.0013895941454387757,4.829296,5.045296325569299,26.007483830283924,250000
E8_launch_service,MSOG trios,3,0.25,33,1,0.991504,0.00035978292993044683,4.982104,5.237236682130731,26.652999658564912,250000
E8_launch_service,MSOG trios,3,0.25,33,2,0.953784,0.0008230140715470435,4.982104,5.237236682130731,26.652999658564912,250000
E8_launch_service,MSOG trios,3,0.25,33,3,0.865696,0.0013366362840196945,4.982104,5.237236682130731,26.652999658564912,250000
E8_launch_service,MSOG trios,3,0.25,34,1,0.992776,0.0003319713239801199,5.134128,5.3683191528926155,27.606603513657767,250000
E8_launch_service,MSOG trios,3,0.25,34,2,0.959528,0.0007724888621513852,5.134128,5.3683191528926155,27.606603513657767,250000
E8_launch_service,MSOG trios,3,0.25,34,3,0.878956,0.0012786193366375507,5.134128,5.3683191528926155,27.606603513657767,250000
E8_launch_service,MSOG trios,3,0.25,35,1,0.993736,0.00030927687832779595,5.285836,5.528795896287591,28.408387270263205,250000
