strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.1,18.0,1.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,high,balanced,0.21,True,-999.4137847376085,0.02704,405.22784093827687,100000
MSOG,same_indication,0.1,18.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.09376,207.95175097149462,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,high,balanced,0.22,True,-997.3040860935519,0.02704,532.1093141970588,100000
MSOG,same_indication,0.1,18.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.09376,322.8440940594442,100000
MSOG,same_indication,0.25,12.0,0.0,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,high,balanced,0.2,True,-996.1278265476358,0.035928,182.62017116395958,250000
MSOG,same_indication,0.25,12.0,0.0,0.0,high,growth,0.01,True,-1167.7160857368092,0.092884,8.485077340780979,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,high,balanced,0.21,True,-993.8830985943904,0.035384,298.2209702334999,250000
MSOG,same_indication,0.25,12.0,0.5,0.0,high,growth,0.0,True,-1193.6220906520296,0.09278,103.43940701874482,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,high,balanced,0.21,True,-999.4137847376085,0.035384,409.9848220578568,250000
MSOG,same_indication,0.25,12.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.09278,212.80910310967963,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,high,balanced,0.22,True,-997.3040860935519,0.035384,536.8470946953012,250000
MSOG,same_indication,0.25,12.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.09278,327.689397837736,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,high,balanced,0.2,True,-996.1278265476358,0.035928,181.3623602544117,250000
MSOG,same_indication,0.25,15.0,0.0,0.0,high,growth,0.01,True,-1140.6398836483202,0.092552,7.227266431233075,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,high,balanced,0.21,True,-993.8830985943904,0.035384,296.96315932395197,250000
MSOG,same_indication,0.25,15.0,0.5,0.0,high,growth,0.0,True,-1161.8183631345016,0.092552,102.18159610919695,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,low,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,base,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,base,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,base,growth,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,high,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,high,balanced,0.21,True,-999.4137847376085,0.035384,408.7270111483089,250000
MSOG,same_indication,0.25,15.0,1.0,0.0,high,growth,0.0,True,-1175.82010020594,0.092552,211.55129220013177,250000
MSOG,same_indication,0.25,15.0,1.5,0.0,low,preservation,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.5,0.0,low,balanced,,False,,,,250000
MSOG,same_indication,0.25,15.0,1.5,0.0,low,growth,,False,,,,250000
