nominal_breadth,launch_target_per_3y,service_probability,analytic_probability
101,2,1.0,0.9999987946509451
101,3,0.999992,0.999988612581176
102,1,1.0,0.9999999461930901
102,2,1.0,0.9999989674732411
102,3,0.999992,0.9999901535361443
103,1,1.0,0.9999999543362306
103,2,1.0,0.9999991155927539
103,3,0.999992,0.9999914874378428
104,1,1.0,0.9999999612469879
104,2,1.0,0.9999992425282352
104,3,0.999992,0.9999926418832037
105,1,1.0,0.9999999671118707
105,2,1.0,0.9999993512991687
105,3,0.999992,0.9999936408251661
106,1,1.0,0.9999999720891619
106,2,1.0,0.9999994444962951
106,3,0.999992,0.9999945050485985
107,1,1.0,0.9999999763131896
107,2,1.0,0.9999995243422269
107,3,0.999992,0.9999952525848698
108,1,1.0,0.9999999798979528
108,2,1.0,0.9999995927435359
108,3,0.999992,0.9999958990728504
109,1,1.0,0.9999999829401975
109,2,1.0,0.9999996513355055
109,3,0.999992,0.999996458073164
110,1,1.0,0.999999985522029
110,2,1.0,0.9999997015205768
110,3,0.999992,0.9999969413416527
111,1,1.0,0.9999999877131258
111,2,1.0,0.9999997445013714
111,3,0.999992,0.9999973590672747
112,1,1.0,0.999999989572622
112,2,1.0,0.999999781309051
112,3,0.999996,0.9999977200789949
113,1,1.0,0.9999999911507019
113,2,1.0,0.9999998128276706
113,3,0.999996,0.9999980320256587
