experiment,strategy,rho_true,cannibalization_true,loe_year,acceleration_years,rnd_cost_synergy,capacity_profile,risk_policy_profile,assumed_value_choice,true_value_oracle,eNPV_regret_usd_m,P5_regret_usd_m,governance_choice_under_independence_additivity,governance_oracle_under_truth,wrong_governance_choice,selected_true_capacity_breach_probability,oracle_capacity_breach_probability,incremental_capacity_breach_probability,value_selected_true_capacity_breach_probability,value_selected_incremental_breach_vs_diversified,value_selected_true_P5_NPV_usd_m,value_selected_P5_shortfall_vs_diversified_usd_m,concentrated_true_P5_NPV_usd_m,diversified_P5_NPV_usd_m,concentrated_true_eNPV_usd_m,diversified_eNPV_usd_m,n_runs
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,low,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,low,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,low,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,base,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,base,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,base,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,high,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.06044,-0.03492,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,high,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.06044,-0.03492,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.1,high,growth,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.06044,0.06044,0.0,0.06044,-0.03492,-1072.1868039690485,0.0,-1072.1868039690485,-1148.2457813904614,-420.06454292041445,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,low,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,low,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,low,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.99571,2.0000000000020002e-05,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,base,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,base,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,base,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.94966,-0.0048600000000000865,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,high,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,high,balanced,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.03329,0.03329,0.0,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.2,high,growth,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.03329,0.03329,0.0,0.03329,-0.06207,-996.1278265476358,0.0,-996.1278265476358,-1148.2457813904614,-328.3853006327231,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,low,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.9923,-0.003390000000000004,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,low,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.9923,-0.003390000000000004,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,low,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.9923,-0.003390000000000004,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,base,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92913,-0.025390000000000024,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,base,balanced,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92913,-0.025390000000000024,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,base,growth,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.92913,-0.025390000000000024,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,high,preservation,concentrated,concentrated,0.0,0.0,no feasible action,no feasible action,False,,,,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,high,balanced,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.02413,0.02413,0.0,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.1,12.0,0.0,0.3,high,growth,concentrated,concentrated,0.0,0.0,concentrated,concentrated,False,0.02413,0.02413,0.0,0.02413,-0.07123,-920.068849126223,0.0,-920.068849126223,-1148.2457813904614,-236.7060583450317,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,low,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,low,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,low,growth,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.99569,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,base,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,base,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,base,growth,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.95452,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,high,preservation,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.09536,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
E7,Parallel PIAP,0.2,0.25,12.0,0.0,0.0,high,balanced,diversified,diversified,0.0,0.0,no feasible action,no feasible action,False,,,,0.09536,0.0,-1148.2457813904614,0.0,-1178.5694457769846,-1148.2457813904614,-568.1885463646123,-471.5690924597016,100000
