experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_linear_proxy_usd_m,low_capacity_breach_probability,low_breach_half_width,base_capacity_breach_probability,base_breach_half_width,high_capacity_breach_probability,high_breach_half_width
E4,MSOG,same_indication,0.0,18.0,0.5,0.17,0.0,0.0,100000,766.3583765180194,4.648465697580645,867.8504224478017,1469.9739229518295,-1006.5560203402908,-774.5747904780454,-1126.695572705114,0.37419,954.067317154051,0.8032539871547422,262.52351700896,0.5029958296338215,261.5376451828777,263.50938883504233,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,302.0255813333333,0.37709,0.003003939838790118,0.3739,0.0029988563014322644,0.0216,0.0009010339788487448
E4,MSOG,same_indication,0.0,18.0,0.5,0.18,0.0,0.0,100000,775.6507980586376,4.65415206475587,875.8422203738386,1471.7721101404024,-995.5521338513649,-769.9131183900729,-1116.511852056238,0.37419,944.7748956134325,0.8209900598120949,271.8159385495784,0.5116276478185153,270.8131483598541,272.8187287393027,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,298.9243253333333,0.37692,0.0030036724294199594,0.3739,0.0029988563014322644,0.0216,0.0009010339788487448
E4,MSOG,same_indication,0.0,18.0,0.5,0.19,0.0,0.0,100000,784.9432195992562,4.659854104076618,883.8340182998753,1473.5752532965428,-984.5482473624392,-765.2514463021005,-1106.3281314073624,0.37419,935.4824740728143,0.8390784876833077,281.10836009019687,0.5203187720201399,280.08853529703737,282.12818488335637,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,295.8230693333333,0.37692,0.0030036724294199594,0.3739,0.0029988563014322644,0.0216,0.0009010339788487448
E4,MSOG,same_indication,0.0,18.0,0.5,0.2,0.0,0.0,100000,794.2356411398746,4.665571758081641,891.8258162259121,1475.3833342494086,-973.5443608735134,-760.589774214128,-1096.1444107584866,0.37406,926.1900525321959,0.857529876258594,290.4007816308153,0.5290662795356885,289.36381172292533,291.43775153870524,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,292.72181333333333,0.37688,0.003003609452390507,0.3739,0.0029988563014322644,0.0216,0.0009010339788487448
E4,MSOG,same_indication,0.0,18.0,0.5,0.21,0.0,0.0,100000,803.528062680493,4.671304969434054,899.8176141519489,1477.1963348674844,-962.5404743845876,-755.9281021261556,-1085.9606901096106,0.37394,916.8976309915776,0.8763552609591965,299.6932031714337,0.537867419433333,298.6389830293444,300.74742331352303,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,289.62055733333335,0.37649,0.003002994284483139,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.22,0.0,0.0,100000,812.8204842211115,4.677053680922478,907.8094120779856,1479.0142370589442,-951.5365878956618,-751.2664300381832,-1075.7769694607348,0.37394,907.605209450959,0.8955661291464094,308.9856247120522,0.5467196015828957,307.9140542929497,310.0571951311547,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,286.5193013333333,0.37649,0.003002994284483139,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.23,0.0,0.0,100000,822.11290576173,4.682817835462179,915.8012100040223,1480.8370227720093,-940.5327014067359,-746.6047579502108,-1065.593248811859,0.37393,898.3127879103404,0.9151744434966055,318.2780462526706,0.5556203863637441,317.1890302953977,319.3670622099435,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,283.41804533333334,0.3764,0.0030028520284289735,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.24,0.0,0.0,100000,831.4053273023483,4.68859737609616,923.793007930059,1482.6646739952969,-929.5288149178102,-741.9430858622384,-1055.4095281629832,0.37393,889.0203663697222,0.9351926668422204,327.57046779328897,0.564567475021349,326.46391554224715,328.6770200443308,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,280.3167893333333,0.37484,0.00300036870676762,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.25,0.0,0.0,100000,840.6977488429667,4.694392245996265,931.7848058560959,1484.4971727581653,-918.5249284288843,-737.281413774266,-1045.2258075141074,0.37393,879.7279448291036,0.9556337885870854,336.86288933390745,0.5735587006418053,335.7387142806495,337.9870643871654,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,277.2155333333334,0.37481,0.0030003206250636613,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.26,0.0,0.0,100000,849.9901703835851,4.700202388464232,939.7766037821327,1486.3345011310503,-907.5210419399584,-732.6197416862934,-1035.0420868652318,0.37393,870.4355232884855,0.976511352813752,346.1553108745259,0.582592019712594,345.01343051588924,347.2971912331626,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,274.11427733333335,0.37428,0.002999469153891335,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.27,0.0,0.0,100000,859.2825919242036,4.706027746932739,947.7684017081694,1488.1766412257934,-896.5171554510327,-727.958069598321,-1024.858366216356,0.37392,861.1431017478669,0.9978394882106273,355.4477324151443,0.5916655042375145,354.28806802683874,356.60739680344983,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,271.0130213333333,0.37427,0.0029994530514934887,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
E4,MSOG,same_indication,0.0,18.0,0.5,0.28,0.0,0.0,100000,868.5750134648222,4.71186826496643,955.7601996342062,1490.0235751959685,-885.5132689621068,-723.2963975103486,-1014.6746455674801,0.37392,851.8506802072483,1.0196329399578632,364.74015395576276,0.6007773343739046,363.5626303803899,365.9176775311356,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.416868437850807,0.90862,0.6261,267.91176533333334,0.37419,0.0029993241830889835,0.3739,0.0029988563014322644,0.02133,0.0008955083443148925
