experiment,policy,rho,common_shock_probability,acceleration_years,loe_year,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_usd_m,mean_first_launch_year,probability_two_launches_by_year_9,low_capacity_breach_probability,low_mean_funding_need_usd_m,low_P95_funding_need_usd_m,base_capacity_breach_probability,base_mean_funding_need_usd_m,base_P95_funding_need_usd_m,high_capacity_breach_probability,high_mean_funding_need_usd_m,high_P95_funding_need_usd_m
E5,parallel,0.415,0.05,0.5,12.0,100000,-369.3313966464479,2.204022358398848,-559.4006505566923,696.9730666476303,-1456.2409285513863,-1161.8183631345016,-1695.9109830391271,0.795,1111.0723379829449,-0.33240985669478273,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,6.416983572486679,0.90458,0.48083,395.0034666666667,5.54075244889046,0.24253,0.93682,4281.1118875,6498.75,0.88686,3343.523025,5498.75,0.105,1629.2379875,3498.75
E5,parallel,0.415,0.05,0.5,15.0,100000,185.14744962979339,4.39563911243508,-559.4006505566923,1390.0231367415818,-1456.2409285513863,-1155.0320722624815,-1702.4996816683315,0.57746,1111.0723379829449,0.166638519653826,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,9.416983572486679,0.90458,0.48083,395.0034666666667,5.54075244889046,0.24253,0.75747,3378.7856625,6498.75,0.58742,2621.3156625,5498.75,0.10448,1363.1331875,3498.75
E5,parallel,0.415,0.05,0.5,18.0,100000,601.735613623964,6.122825193913922,-559.4006505566923,1936.2073327830121,-1456.2409285513863,-1155.0320722624815,-1702.4996816683315,0.53233,1111.0723379829449,0.5415809511704365,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,12.416983572486679,0.90458,0.48083,395.0034666666667,5.54075244889046,0.24253,0.54706,2947.407725,6498.75,0.51917,2399.8343625,5498.75,0.10448,1359.7545375,3498.75
E5,staged,0.415,0.05,0.5,12.0,100000,-704.8862140174363,1.3055129974435222,-559.4006505566923,412.8394586875109,-1488.5030437338942,-1309.9215297891835,-1613.9618176640884,1.0,998.7750956482703,-0.7057506911102134,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,3.9444217205775054,0.83558,0.46638,330.787,6.640236674084396,0.08568,1.0,5351.87284,7238.75,1.0,4351.87284,6238.75,0.21932,2351.87284,4238.75
E5,staged,0.415,0.05,0.5,15.0,100000,-268.4767199786051,2.3383868569027864,-559.4006505566923,739.4628518415035,-1284.984753055029,-1097.9577514909874,-1439.054141070468,0.64821,998.7750956482703,-0.26880598159523206,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,6.874643480952487,0.89628,0.47744,330.787,6.640236674084396,0.08568,0.87025,3895.6703775,6548.75,0.66749,3025.614515,5548.75,0.13716,1612.1052525,3548.75
E5,staged,0.415,0.05,0.5,18.0,100000,133.61458020409816,3.8025746507231233,-559.4006505566923,1202.4796869104312,-1258.4491370361577,-1097.9577514909874,-1381.372424726468,0.59199,998.7750956482703,0.13377844600477706,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,9.860891242344513,0.9028,0.48002,330.787,6.640236674084396,0.08568,0.62078,3217.098115,6498.75,0.57253,2592.10379,5498.75,0.11468,1433.0977275,3498.75
E5,parallel,0.415,0.05,1.0,12.0,100000,-259.9769283229519,2.65375637577619,-559.4006505566923,839.1914502646449,-1470.2426656228245,-1162.0329407982006,-1723.1972498822174,0.67821,1122.4796630866665,-0.23160947754550018,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,6.833967144973358,0.90458,0.48083,444.8473333333334,5.0815048977809205,0.24253,0.89814,4090.813425,6498.75,0.82258,3189.6826,5498.75,0.105,1553.0493875,3498.75
E5,parallel,0.415,0.05,1.0,15.0,100000,294.5019179532895,4.878033054391931,-559.4006505566923,1542.569495346653,-1470.2426656228245,-1162.0329407982006,-1724.8444908079546,0.55114,1122.4796630866665,0.2623672638695736,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,9.833967144973357,0.90458,0.48083,444.8473333333334,5.0815048977809205,0.24253,0.75747,3309.0971625,6498.75,0.56656,2551.6271625,5498.75,0.10448,1361.4542875,3498.75
E5,parallel,0.415,0.05,1.0,18.0,100000,711.0900819474601,6.609251259576279,-559.4006505566923,2090.028760859779,-1470.2426656228245,-1162.0329407982006,-1724.8444908079546,0.53233,1122.4796630866665,0.6334993009958497,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,12.833967144973357,0.90458,0.48083,444.8473333333334,5.0815048977809205,0.24253,0.53344,2935.336125,6498.75,0.51917,2398.91195,5498.75,0.10448,1359.7545375,3498.75
E5,staged,0.415,0.05,1.0,12.0,100000,-645.126758825009,1.4717265875209113,-559.4006505566923,465.40081095932214,-1503.257561073122,-1284.7270038895635,-1650.2015638394466,0.86037,1014.5172861773133,-0.6358952849939477,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,4.486369364788079,0.87508,0.47055,352.847,6.196181602645425,0.19668,1.0,5162.07198,7154.75,1.0,4162.07198,6154.75,0.18706,2162.07198,4154.75
E5,staged,0.415,0.05,1.0,15.0,100000,-167.62668762698976,2.7216246995264433,-559.4006505566923,860.653298667495,-1332.8405453576966,-1122.3291562281124,-1481.448860480181,0.64231,1014.5172861773133,-0.1652280251020707,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,7.456454929359482,0.90048,0.47962,352.847,6.196181602645425,0.19668,0.84659,3723.4147975,6498.75,0.65867,2886.30996,5498.75,0.12546,1532.4183225,3498.75
E5,staged,0.415,0.05,1.0,18.0,100000,242.11995558123832,4.224859005598866,-559.4006505566923,1336.0177250766487,-1276.7597341339224,-1085.3857440161191,-1420.9352195896322,0.57067,1014.5172861773133,0.23865532788853985,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,10.453171637666099,0.90431,0.48072,352.847,6.196181602645425,0.19668,0.60943,3137.348325,6498.75,0.55938,2528.4686125,5498.75,0.10834,1401.475175,3498.75
E5,parallel,0.415,0.05,1.5,12.0,100000,-145.11248353513764,3.144421418218179,-559.4006505566923,994.3533604986321,-1484.6890007309323,-1169.2561083522546,-1746.9277896742142,0.66622,1134.2712557662144,-0.1279345507500429,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,7.250950717460037,0.90458,0.48083,528.552,4.622257346671381,0.24253,0.8884,3932.87,6498.75,0.78309,3058.675225,5498.75,0.105,1485.20985,3498.75
E5,parallel,0.415,0.05,1.5,15.0,100000,409.36636274110367,5.3891109835154785,-559.4006505566923,1704.1865271339043,-1484.6890007309323,-1169.2561083522546,-1747.903539985629,0.55114,1134.2712557662144,0.36090693532083873,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,10.250950717460036,0.90458,0.48083,528.552,4.622257346671381,0.24253,0.75747,3239.4086625,6498.75,0.5611,2501.0866125,5498.75,0.10448,1360.9912,3498.75
E5,parallel,0.415,0.05,1.5,18.0,100000,825.9545267352744,7.122810695470049,-559.4006505566923,2252.4305139893336,-1484.6890007309323,-1169.2561083522546,-1747.903539985629,0.52641,1134.2712557662144,0.7281807791006145,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,13.250950717460036,0.90458,0.48083,528.552,4.622257346671381,0.24253,0.52728,2929.36515,6498.75,0.51917,2398.8453,5498.75,0.10448,1359.7545375,3498.75
E5,staged,0.415,0.05,1.5,12.0,100000,-561.1639911349706,1.7154859050441909,-559.4006505566923,542.4842753854979,-1474.2849226370358,-1273.6042814188352,-1641.7668060457058,0.80044,1031.427671381007,-0.5440652861131917,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,5.055943089610648,0.89714,0.47783,389.6136666666667,5.752126531206455,0.20604,1.0,4912.69132,6898.750000000002,0.97588,3913.3270825,5898.750000000002,0.16664,1981.1788825,3898.750000000002
E5,staged,0.415,0.05,1.5,15.0,100000,-53.67954520454789,3.1647418554036064,-559.4006505566923,1000.7792469542653,-1296.2312782078134,-1148.2457813904614,-1476.8268913663924,0.61825,1031.427671381007,-0.052043925806910786,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,8.047497181012183,0.90405,0.48063,389.6136666666667,5.752126531206455,0.20604,0.82406,3556.8030025,6498.75,0.6453,2755.845765,5498.75,0.11575,1468.429965,3498.75
E5,staged,0.415,0.05,1.5,18.0,100000,360.60961893147265,4.701888987925615,-559.4006505566923,1486.8678507108887,-1296.2312782078134,-1090.8126167088717,-1466.2746631352295,0.55987,1031.427671381007,0.34962181928728214,0.90458,1.215183027489235,0.51917,0.18444273588566365,3.12136560099197,11.047143425678215,0.90454,0.48081,389.6136666666667,5.752126531206455,0.20604,0.5833,3067.0898375,6498.75,0.54506,2478.4714,5498.75,0.10582,1379.7218225,3498.75
