strategy,topology,rho,loe_year,acceleration_years,cannibalization,capacity_profile,risk_policy_profile,minimum_synergy,solution_exists,binding_P5_NPV_usd_m,binding_capacity_breach_probability,delta_eNPV_at_frontier_usd_m,n_runs
MSOG,same_indication,0.0,15.0,1.0,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,high,balanced,0.2,True,-985.9875931767822,0.0216,125.3697903908083,100000
MSOG,same_indication,0.0,15.0,1.0,0.5,high,growth,0.1,True,-1084.5952474360138,0.05673,31.301257717550357,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,high,balanced,0.2,True,-998.8471168185526,0.0216,520.2375225863744,100000
MSOG,same_indication,0.0,15.0,1.5,0.0,high,growth,0.0,True,-1190.266435314048,0.09533,329.73472242104367,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,high,balanced,0.2,True,-998.8471168185526,0.0216,460.90722433987344,100000
MSOG,same_indication,0.0,15.0,1.5,0.1,high,growth,0.0,True,-1190.266435314048,0.09533,270.4044241745426,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,high,balanced,0.2,True,-998.8471168185526,0.0216,371.91177697012193,100000
MSOG,same_indication,0.0,15.0,1.5,0.25,high,growth,0.0,True,-1190.266435314048,0.09533,181.40897680479117,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,low,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,base,growth,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,high,balanced,0.2,True,-998.8471168185526,0.0216,223.5860313538695,100000
MSOG,same_indication,0.0,15.0,1.5,0.5,high,growth,0.0,True,-1190.266435314048,0.09533,33.08323118853864,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,low,preservation,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,low,balanced,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,low,growth,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,base,preservation,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,base,balanced,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,base,growth,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,high,preservation,,False,,,,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,high,balanced,0.2,True,-961.5022449734774,0.0216,183.6340689483992,100000
MSOG,same_indication,0.0,18.0,0.0,0.0,high,growth,0.0,True,-1148.2457813904614,0.09533,0.0,100000
