experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.17,0.0,250000,133.40541942114294,2.3039528772811115,-99.48598776181132,1151.9764386405557,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.1212904382259887,49.24494020452969,2.2435137064519837,44.847653339883806,53.642227069175576,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.18,0.0,250000,136.41616522769343,2.310844012711549,-95.49530613858879,1155.4220063557746,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.12402776838729766,52.25568601108017,2.2480921050332543,47.849425485214994,56.66194653694535,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.19,0.0,250000,139.42691103424394,2.3177390499852897,-91.50462451536625,1158.8695249926448,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.12676509854860665,55.26643181763067,2.2526862934675975,50.851166682434176,59.68169695282716,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.621352,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.2,0.0,250000,142.43765684079443,2.324637954382921,-87.51394289214369,1162.3189771914606,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.1295024287099156,58.27717762418121,2.257296175345565,53.852877120503905,62.70147812785852,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.554332,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.21,0.0,250000,145.448402647345,2.331540691576604,-83.52326126892116,1165.770345788302,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.13223975887122463,61.28792343073172,2.261921654715663,56.854556987489026,65.72128987397443,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.554332,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.22,0.0,250000,148.45914845389547,2.338447227624862,-79.53257964569862,1169.223613812431,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.13497708903253358,64.2986692372822,2.266562636086321,59.85620647055301,68.74113200401139,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.554332,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.23,0.0,250000,151.46989426044598,2.345357528967449,-75.54189802247608,1172.6787644837245,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.13771441919384256,67.3094150438327,2.27121902442774,62.85782575595433,71.76100433171106,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.24,0.0,250000,154.48064006699653,2.35227156242029,-71.55121639925353,1176.1357812101448,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.14045174935515156,70.32016085038322,2.275890725173645,65.85941502904288,74.78090667172356,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.25,0.0,250000,157.491385873547,2.3591892951705,-67.56053477603099,1179.59464758525,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.1431890795164605,73.33090665693372,2.2805776442229155,68.8609744742568,77.80083883961063,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.26,0.0,250000,160.50213168009745,2.3661106947714785,-63.56985315280845,1183.0553473857392,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.14592640967776943,76.34165246348424,2.28527968794112,71.86250427511965,80.82080065184883,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.27,0.0,250000,163.512877486648,2.3730357291380715,-59.579171529585906,1186.5178645690357,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.14866373983907843,79.35239827003473,2.289996763161945,74.86400461423732,83.84079192583214,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.28,0.0,250000,166.52362329319857,2.3799643665418064,-55.58848990636335,1189.9821832709033,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.1514010700003875,82.36314407658527,2.2947287771885163,77.86547567329578,86.86081247987477,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.29,0.0,250000,169.53436909974903,2.3868965756062046,-51.597808283140836,1193.4482878031024,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.15413840016169642,85.37388988313576,2.2994756377946297,80.86691763305828,89.88086213321324,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.3,0.0,250000,172.54511490629955,2.393832325302152,-47.60712665991829,1196.916162651076,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.1568757303230054,88.38463568968626,2.304237253225877,83.86833067336354,92.90094070600898,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.31,0.0,250000,175.55586071285003,2.400771584943347,-43.61644503669574,1200.3857924716735,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.15961306048431437,91.39538149623677,2.309013532200677,86.86971497312344,95.9210480193501,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
E4_commercial_synergy,MSOG,same_indication,0.25,15.0,0.0,0.0,0.32,0.0,250000,178.56660651940055,2.40771432418181,-39.625763413473194,1203.8571620909051,-1148.2457813904614,-884.1468803601001,-1318.8511839282748,0.52928,1099.8840582353373,0.16235039064562334,94.4061273027873,2.3138043839112155,89.87107071032132,98.94118389525327,0.905368,1.0665276998284376,0.457364,0.09592660638294244,4.055036356696229,9.0,0.905368,0.542636,0.759644,0.544188,0.092552
