experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.2,0.0,0.25,100000,534.5362799393356,3.5257629921211655,745.8098186570378,1114.9441545033185,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.37398,917.3326050763183,0.5827071631176398,30.70142043027619,0.8871025662285199,28.962699400468292,32.44014146008409,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38387,0.3739,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.3,0.0,0.25,100000,626.353314413535,3.578102030835598,824.901162517103,1131.4952117914522,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.37393,825.5155706021187,0.7587419749777491,122.51845490447577,0.8536456993437129,120.8453093337621,124.19160047518945,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.37502,0.3739,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.0,0.0,0.5,100000,197.96956247281327,2.7631289145827633,587.6271309369075,873.7780838750375,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.3867,1100.9666740247173,0.1798143096821555,-305.865297036246,1.9633165297745492,-309.7133974346041,-302.0171966378879,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.39981,0.3739,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.1,0.0,0.5,100000,289.7865969470129,2.8032334637068614,666.7184747969727,886.4602558516636,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.37502,1009.1496395505178,0.2871591938298525,-214.04826256204643,1.9099211502229048,-217.7917080164833,-210.30481710760955,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38669,0.3739,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.2,0.0,0.5,100000,381.60363142121247,2.846300811959018,745.8098186570378,900.0793471777123,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.37398,917.3326050763183,0.41599266101466503,-122.23122808784683,1.860392380849142,-125.87759715431115,-118.58485902138251,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38387,0.3739,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.3,0.0,0.5,100000,473.4206658954121,2.8921986064136593,824.901162517103,914.5935041832034,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.37393,825.5155706021187,0.5734848411764132,-30.41419361364725,1.8150467839822326,-33.971685310252425,-26.856701917042074,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.37502,0.3739,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.0,0.0,0.0,100000,-367.01674164125495,1.700072472445408,-348.29685355023906,537.6101200281337,-1161.8183631345016,-975.7320027735561,-1267.5652073202373,0.79775,1112.0384833445644,-0.3300396048681843,104.55235081844671,0.3692689922242287,103.82858359368723,105.2761180432062,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.98172,0.95121,0.09535
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.1,0.0,0.0,100000,-274.0925262350707,1.7319577307627054,-261.5925834178513,547.6931240346825,-1078.2944657538667,-837.5301594803758,-1197.906698421788,0.64675,1019.1142679383801,-0.26895171116537,197.476566224631,0.44452098075631846,196.6053051023486,198.3478273469134,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.98172,0.89248,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.2,0.0,0.0,100000,-181.1683108288864,1.769231941500512,-181.67460415748366,559.4802644263399,-973.5443608735134,-790.9134386006514,-1096.1277071082875,0.64525,926.1900525321959,-0.1956059777726761,290.4007816308153,0.5290662795356884,289.36381172292533,291.43775153870524,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.96172,0.89248,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.3,0.0,0.0,100000,-88.24409542270213,1.8115624903926333,-101.75662489711607,572.8663593367619,-863.5054959842553,-713.9730533344037,-993.9525989316109,0.63714,833.2658371260115,-0.10590149204611796,383.3249970369996,0.6191092521080794,382.11154290286777,384.53845117113144,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.96132,0.85789,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.0,0.0,0.1,100000,-401.4080664288874,1.5388637027718262,-348.29685355023906,486.63143093193395,-1161.8183631345016,-975.7320027735561,-1267.5652073202373,0.81985,1112.0384833445644,-0.36096598493751175,70.16102603081421,0.2337681416352757,69.70284047320908,70.61921158841935,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.9951,0.953,0.09535
E4_interaction,Parallel PIAP,same_asset,0.0,12.0,0.5,0.1,0.0,0.1,100000,-308.4838510227032,1.5658670441513958,-261.5925834178513,495.17063725138524,-1078.2944657538667,-837.5301594803758,-1197.906698421788,0.66091,1019.1142679383801,-0.3026980003397965,163.0852414369985,0.30048925509346924,162.4962824970153,163.6742003769817,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,6.416868437850806,0.90862,0.6261,0.99395,0.95174,0.05673
